"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11503","При создании нового заказа счётчик Выполнено за всё время увеличивается","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","11662","При создании нового заказа счётчик Выполнено за сегодня увеличивается","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","1266","Выход из аккаунта","tests","2026-06-22","passed","2026-06-22","TestPersonalAccount","test_personal_account","",""
"","1011","Проверка, что если кликнуть на заказ, откроется всплывающее окно с деталями","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","1555","Переход по клику на «Личный кабинет»","tests","2026-06-22","passed","2026-06-22","TestPersonalAccount","test_personal_account","",""
"","255","Переход по клику на «Конструктор»","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","11202","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-06-22","passed","2026-06-22","TestForgotPassword","test_forgot_password","",""
"","517","Переход на страницу восстановления пароля по кнопке","tests","2026-06-22","passed","2026-06-22","TestForgotPassword","test_forgot_password","",""
"","12976","После оформления заказа его номер появляется в разделе В работе","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","1071","Модальное окно закрывается кликом по крестику","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","11185","Ввод почты и клик по кнопке «Восстановить»","tests","2026-06-22","passed","2026-06-22","TestForgotPassword","test_forgot_password","",""
"","13136","При создании нового заказа счётчик Выполнено за всё время увеличивается","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","12022","Заказы пользователя из раздела История заказов отображаются на странице Лента заказов","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","1319","Переход по клику на «Личный кабинет»","tests","2026-06-22","passed","2026-06-22","TestPersonalAccount","test_personal_account","",""
"","11812","Ввод почты и клик по кнопке «Восстановить»","tests","2026-06-22","passed","2026-06-22","TestForgotPassword","test_forgot_password","",""
"","232","При добавлении ингредиента в заказ, увеличивается количество данного ингредиента","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","11051","Клик по кнопке показать/скрыть пароль делает поле активным","tests","2026-06-22","passed","2026-06-22","TestForgotPassword","test_forgot_password","",""
"","1156","Залогиненный пользователь может оформить заказ","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","1286","При добавлении ингредиента в заказ, увеличивается количество данного ингредиента","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","1248","Переход в раздел «История заказов»","tests","2026-06-22","passed","2026-06-22","TestPersonalAccount","test_personal_account","",""
"","1213","Выход из аккаунта","tests","2026-06-22","passed","2026-06-22","TestPersonalAccount","test_personal_account","",""
"","337","Клик по ингредиенту открывает модальное окно","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","14308","Заказы пользователя из раздела История заказов отображаются на странице Лента заказов","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","1342","Модальное окно закрывается кликом по крестику","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","352","Переход по клику на «Лента заказов»","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","1353","Переход в раздел «История заказов»","tests","2026-06-22","passed","2026-06-22","TestPersonalAccount","test_personal_account","",""
"","280","Переход по клику на «Конструктор»","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","480","Переход по клику на «Лента заказов»","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","2304","Залогиненный пользователь может оформить заказ","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","13838","При создании нового заказа счётчик Выполнено за сегодня увеличивается","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","548","Проверка, что если кликнуть на заказ, откроется всплывающее окно с деталями","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","566","Клик по ингредиенту открывает модальное окно","tests","2026-06-22","passed","2026-06-22","TestMainFunctionality","test_main_function","",""
"","11733","После оформления заказа его номер появляется в разделе В работе","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"","294","Переход на страницу восстановления пароля по кнопке","tests","2026-06-22","passed","2026-06-22","TestForgotPassword","test_forgot_password","",""
